bias_abs_V,input_a_V,input_b_V,common_V,output_A,effective_mA,delta_M_independent
8.0,9.675999999999998,0.0,-1.0756037063435497,-0.022777619387027798,22.777619387027798,0.1615683358634153
8.0,9.839999999999998,0.0,-1.024941919824315,-0.022944270000577912,22.944270000577912,0.17162816417698112
8.0,10.004,0.0,-0.9742801333050799,-0.023110920614128026,23.110920614128027,0.18170875240423418
8.0,10.168,0.0,-0.9236183467858448,-0.02327757122767814,23.27757122767814,0.19174807784509446
8.0,10.331999999999999,0.0,-0.8729565602666102,-0.023444221841228255,23.444221841228256,0.20168512761615892
8.0,10.495999999999999,0.0,-0.8222947737473756,-0.02361087245477837,23.61087245477837,0.2114613651806852
8.0,10.659999999999998,0.0,-0.771632987228141,-0.023777523068328484,23.777523068328485,0.22102207091145804
8.0,10.823999999999998,0.0,-0.7209712007089059,-0.023944173681878598,23.9441736818786,0.23031749367828253
8.0,10.987999999999998,0.0,-0.6703094141896713,-0.024110824295428712,24.110824295428714,0.23930376617157761
8.0,11.152,0.0,-0.6196476276704361,-0.02427747490897883,24.27747490897883,0.247943555315513
8.0,11.315999999999999,0.0,-0.568985841151201,-0.024444125522528944,24.444125522528946,0.25620643852531505
8.0,11.479999999999999,0.0,-0.5183240546319664,-0.02461077613607906,24.610776136079057,0.2640690146892016
8.0,11.643999999999998,0.0,-0.46766226811273176,-0.024777426749629173,24.77742674962917,0.27151477397806784
8.0,11.807999999999998,0.0,-0.4170004815934972,-0.024944077363179284,24.944077363179282,0.27853376185503814
8.0,11.971999999999998,0.0,-0.36633869507426203,-0.0251107279767294,25.1107279767294,0.2851220795473329
8.0,12.136,0.0,-0.3156769085550269,-0.02527737859027952,25.27737859027952,0.2912812658952933
8.0,12.299999999999999,0.0,-0.2650151220357923,-0.02544402920382963,25.44402920382963,0.29701760448012654
8.0,12.463999999999999,0.0,-0.21435333551655716,-0.025610679817379748,25.610679817379747,0.30234139608852334
8.0,12.627999999999998,0.0,-0.16369154899732255,-0.025777330430929862,25.77733043092986,0.30726623083287047
8.0,12.791999999999998,0.0,-0.11302976247808795,-0.025943981044479973,25.943981044479973,0.31180828750708117
8.0,12.955999999999998,0.0,-0.06236797595885334,-0.026110631658030087,26.110631658030087,0.31598568078636663
8.0,13.119999999999997,0.0,-0.011706189439618205,-0.026277282271580205,26.277282271580205,0.3198178702611619
8.0,13.283999999999999,0.0,0.03895559707961693,-0.02644393288513032,26.44393288513032,0.3233251394262006
8.0,13.447999999999999,0.0,0.08961738359885153,-0.02661058349868043,26.61058349868043,0.32652814784501644
8.0,13.611999999999998,0.0,0.1402791701180867,-0.026777234112230548,26.77723411223055,0.32944755585327395
8.0,13.775999999999998,0.0,0.19094095663732127,-0.026943884725780663,26.943884725780663,0.33210371832002555
8.0,13.939999999999998,0.0,0.2416027431565559,-0.027110535339330773,27.110535339330774,0.3345164420532492
8.0,14.103999999999997,0.0,0.2922645296757905,-0.02727718595288089,27.27718595288089,0.3367048002757845
8.0,14.267999999999999,0.0,0.34292631619502617,-0.027443836566431005,27.443836566431006,0.33868699705760946
8.0,14.431999999999999,0.0,0.39358810271426076,-0.027610487179981123,27.610487179981124,0.3404802745217744
8.0,14.595999999999998,0.0,0.44424988923349534,-0.027777137793531234,27.777137793531235,0.3421008559103476
8.0,14.759999999999998,0.0,0.4949116757527305,-0.02794378840708135,27.94378840708135,0.3435639180898992
8.0,14.923999999999998,0.0,0.5455734622719651,-0.028110439020631466,28.110439020631468,0.34488358770165833
8.0,15.087999999999997,0.0,0.5962352487911997,-0.028277089634181577,28.27708963418158,0.34607295584915293
8.0,15.251999999999999,0.0,0.6468970353104349,-0.02844374024773169,28.443740247731693,0.3471441069142625
8.0,15.415999999999999,0.0,0.69755882182967,-0.02861039086128181,28.610390861281807,0.3481081577656063
8.0,15.579999999999998,0.0,0.7482206083489046,-0.028777041474831927,28.777041474831925,0.34897530424820683
8.0,15.743999999999998,0.0,0.7988823948681392,-0.028943692088382034,28.943692088382033,0.34975487240745357
8.0,15.907999999999998,0.0,0.8495441813873743,-0.029110342701932152,29.11034270193215,0.35000000000000003
8.0,16.072,0.0,0.9002059679066094,-0.02927699331548227,29.27699331548227,0.35000000000000003
8.0,16.235999999999997,0.0,0.9508677544258435,-0.02944364392903238,29.44364392903238,0.35000000000000003
8.0,16.4,0.0,1.0015295409450786,-0.029610294542582495,29.610294542582494,0.35000000000000003
8.0,0.0,-4.0,-4.796671225751767,-0.010537265704763923,10.537265704763923,0.0
8.0,0.16399999999999998,-4.0,-4.746009439232533,-0.010703916318314036,10.703916318314036,0.0
8.0,0.32799999999999996,-4.0,-4.695347652713298,-0.010870566931864153,10.870566931864154,0.0
8.0,0.49199999999999994,-4.0,-4.644685866194063,-0.011037217545414266,11.037217545414267,0.0
8.0,0.6559999999999999,-4.0,-4.594024079674828,-0.011203868158964382,11.203868158964383,0.0
8.0,0.8199999999999998,-4.0,-4.543362293155593,-0.011370518772514496,11.370518772514496,0.0
8.0,0.9839999999999999,-4.0,-4.492700506636358,-0.011537169386064612,11.537169386064612,0.0
8.0,1.148,-4.0,-4.442038720117123,-0.011703819999614725,11.703819999614725,0.0
8.0,1.3119999999999998,-4.0,-4.391376933597888,-0.011870470613164841,11.87047061316484,0.0
8.0,1.4759999999999998,-4.0,-4.340715147078654,-0.012037121226714955,12.037121226714955,0.0
8.0,1.6399999999999997,-4.0,-4.290053360559419,-0.012203771840265068,12.203771840265068,0.0
8.0,1.8039999999999998,-4.0,-4.239391574040184,-0.012370422453815186,12.370422453815186,0.0
8.0,1.9679999999999997,-4.0,-4.188729787520949,-0.012537073067365298,12.537073067365299,0.0
